Date,Loc,Opponent,W/L,Score,AB,R,H,RBI,2B,3B,HR,BB,IBB,SB,CS,HBP,SH,SF,GDP,K,PO,A,E,AVG,link,id
6/24/2024,vs,Tennessee,L,5-6,39,5,13,4,2,0,0,2,0,2,0,0,0,0,1,14,24,8,1,.333,/boxscore.aspx?id=22039&path=baseball,22039
6/23/2024,vs,Tennessee,L,1-4,32,1,7,1,0,0,1,4,0,0,0,0,0,0,0,12,27,6,1,.219,/boxscore.aspx?id=22038&path=baseball,22038
6/22/2024,vs,Tennessee,W,9-5,40,9,13,8,2,0,2,3,0,2,1,0,1,0,0,11,27,4,0,.325,/boxscore.aspx?id=22037&path=baseball,22037
6/19/2024,vs,Florida,W,6-0,31,6,6,6,2,1,1,5,0,1,0,1,0,1,0,12,27,7,0,.194,/boxscore.aspx?id=22026&path=baseball,22026
6/17/2024,vs,Kentucky,W,5-1,34,5,11,5,2,0,0,5,0,1,1,1,0,0,2,6,27,8,2,.324,/boxscore.aspx?id=22024&path=baseball,22024
6/15/2024,vs,Florida,W,3-2,28,3,6,2,1,0,0,7,1,1,0,0,0,0,2,10,27,8,0,.214,/boxscore.aspx?id=22021&path=baseball,22021
6/9/2024,at,Oregon,W,15-9,36,15,12,15,1,0,2,9,0,3,0,1,0,0,3,6,27,11,3,.333,/boxscore.aspx?id=21999&path=baseball,21999
6/8/2024,,Oregon,W,10-6,34,10,12,8,4,0,0,9,0,0,1,0,0,0,0,7,27,8,0,.353,/boxscore.aspx?id=21995&path=baseball,21995
6/2/2024,at,Louisiana,W,9-4,40,9,13,9,1,0,5,8,0,2,1,1,0,0,0,8,27,9,0,.325,/boxscore.aspx?id=21994&path=baseball,21994
6/1/2024,at,Texas,W,4-2,41,4,5,2,0,0,1,9,0,2,0,1,0,0,0,15,33,15,0,.122,/boxscore.aspx?id=21993&path=baseball,21993
5/31/2024,,Grambling,W,8-0,32,8,10,6,1,0,0,6,0,6,0,1,0,0,0,9,27,10,1,.313,/boxscore.aspx?id=21812&path=baseball,21812
5/23/2024,vs,Tennessee,L,4-7,36,4,9,4,1,0,3,3,1,3,0,0,0,0,0,12,24,11,3,.250,/boxscore.aspx?id=21958&path=baseball,21958
5/22/2024,vs,Mississippi State,L,3-5,31,3,5,3,3,0,0,3,0,3,0,1,0,1,0,7,27,6,1,.161,/boxscore.aspx?id=21671&path=baseball,21671
5/18/2024,,Arkansas,W,14-4,34,14,15,12,3,0,4,7,0,0,0,0,0,0,0,6,21,5,0,.441,/boxscore.aspx?id=21670&path=baseball,21670
5/17/2024,,Arkansas,L,3-6,35,3,7,3,1,0,1,0,0,0,0,1,0,0,0,7,27,8,1,.200,/boxscore.aspx?id=21956&path=baseball,21956
5/16/2024,,Arkansas,W,1-0,38,1,5,1,2,0,0,3,1,2,0,0,0,0,0,20,33,8,1,.132,/boxscore.aspx?id=21668&path=baseball,21668
5/12/2024,at,Ole Miss,W,6-0,35,6,9,5,1,0,1,4,0,2,0,1,0,1,0,11,27,3,0,.257,/boxscore.aspx?id=21667&path=baseball,21667
5/11/2024,at,Ole Miss,L,2-10,30,2,5,2,0,0,1,2,0,0,0,0,0,1,1,11,24,11,0,.167,/boxscore.aspx?id=21666&path=baseball,21666
5/10/2024,at,Ole Miss,L,3-4,35,3,7,3,1,0,1,5,0,2,0,0,0,0,0,13,24,7,2,.200,/boxscore.aspx?id=21665&path=baseball,21665
5/7/2024,,Rice,W,16-3,27,16,11,13,2,0,4,11,0,3,0,2,0,1,1,8,21,8,0,.407,/boxscore.aspx?id=21808&path=baseball,21808
5/5/2024,at,LSU,W,14-4,40,14,13,14,0,2,4,10,0,1,0,0,0,0,0,15,27,6,0,.325,/boxscore.aspx?id=21664&path=baseball,21664
5/4/2024,at,LSU,L,4-6,31,4,5,4,1,0,0,6,0,0,0,1,0,2,0,16,24,9,2,.161,/boxscore.aspx?id=21663&path=baseball,21663
5/3/2024,at,LSU,L,4-6,36,4,11,4,1,0,3,0,0,0,1,3,0,0,2,8,24,12,3,.306,/boxscore.aspx?id=21662&path=baseball,21662
4/30/2024,,Tarleton,W,10-6,37,10,13,9,2,0,3,4,0,2,0,1,0,0,0,9,27,6,3,.351,/boxscore.aspx?id=21807&path=baseball,21807
4/27/2024,,Georgia,L,4-5,35,4,9,4,2,0,1,4,0,0,0,0,0,1,0,18,27,12,0,.257,/boxscore.aspx?id=21661&path=baseball,21661
4/27/2024,,Georgia,W,19-9,34,19,15,19,4,0,6,9,0,0,0,2,0,0,1,4,21,5,0,.441,/boxscore.aspx?id=21660&path=baseball,21660
4/26/2024,,Georgia,W,5-2,29,5,6,5,0,0,4,6,0,0,0,0,0,0,1,11,27,6,0,.207,/boxscore.aspx?id=21659&path=baseball,21659
4/23/2024,,Houston,W,13-11,33,13,13,9,4,1,2,7,0,2,2,1,0,1,1,8,27,9,1,.394,/boxscore.aspx?id=21806&path=baseball,21806
4/20/2024,at,Alabama,L,9-10,37,9,11,9,2,1,1,5,1,1,0,1,0,2,0,9,24,7,0,.297,/boxscore.aspx?id=21657&path=baseball,21657
4/19/2024,at,Alabama,W,18-9,45,18,18,18,0,0,4,6,0,0,0,1,0,0,0,10,27,8,1,.400,/boxscore.aspx?id=21656&path=baseball,21656
4/19/2024,at,Alabama,W,10-5,37,10,11,10,5,0,4,8,1,1,0,1,0,1,0,10,27,8,0,.297,/boxscore.aspx?id=21658&path=baseball,21658
4/16/2024,,Air Force,W,15-5,37,15,16,15,2,1,4,7,0,0,0,3,1,1,0,5,21,8,1,.432,/boxscore.aspx?id=21805&path=baseball,21805
4/14/2024,,Vanderbilt,W,12-6,33,12,11,9,3,0,2,5,0,3,1,1,0,1,1,7,27,6,1,.333,/boxscore.aspx?id=21655&path=baseball,21655
4/13/2024,,Vanderbilt,W,9-0,28,9,5,7,1,0,2,6,0,0,0,4,1,1,0,8,27,11,0,.179,/boxscore.aspx?id=21654&path=baseball,21654
4/12/2024,,Vanderbilt,W,15-0,32,15,17,15,4,0,5,2,0,0,0,0,0,2,1,3,21,1,0,.531,/boxscore.aspx?id=21653&path=baseball,21653
4/9/2024,,UTSA,W,6-5,34,6,11,6,2,1,3,6,0,0,0,0,0,0,1,7,27,7,4,.324,/boxscore.aspx?id=21804&path=baseball,21804
4/7/2024,at,South Carolina,L,5-6,36,5,10,5,0,0,2,2,0,2,0,0,0,0,0,12,24,5,1,.278,/boxscore.aspx?id=21652&path=baseball,21652
4/6/2024,at,South Carolina,W,6-3,35,6,9,6,1,0,1,6,0,6,0,0,0,0,1,11,27,8,1,.257,/boxscore.aspx?id=21651&path=baseball,21651
4/5/2024,at,South Carolina,W,9-2,41,9,13,9,3,0,1,6,0,3,1,1,0,0,0,14,27,2,1,.317,/boxscore.aspx?id=21650&path=baseball,21650
4/2/2024,at,Texas State,W,12-2,33,12,13,12,5,2,1,8,0,0,0,1,0,0,1,10,21,9,0,.394,/boxscore.aspx?id=21803&path=baseball,21803
3/30/2024,,Auburn,W,10-9,49,10,16,10,3,0,2,9,1,2,0,1,0,0,2,9,36,11,0,.327,/boxscore.aspx?id=21649&path=baseball,21649
3/29/2024,,Auburn,W,12-8,40,12,16,12,5,0,5,3,0,0,0,0,0,1,0,9,27,6,1,.400,/boxscore.aspx?id=21648&path=baseball,21648
3/28/2024,,Auburn,W,9-7,32,9,10,9,3,0,2,5,0,1,0,2,0,2,0,8,27,8,2,.313,/boxscore.aspx?id=21647&path=baseball,21647
3/26/2024,,Houston Christian,W,6-3,30,6,6,6,0,0,0,11,0,2,0,1,0,0,0,6,27,3,0,.200,/boxscore.aspx?id=21802&path=baseball,21802
3/23/2024,,Mississippi State,W,6-1,31,6,9,6,4,0,3,1,1,0,1,1,0,1,0,6,27,4,0,.290,/boxscore.aspx?id=21645&path=baseball,21645
3/22/2024,,Mississippi State,L,1-5,31,1,5,1,1,0,0,4,0,0,0,0,0,0,1,8,27,9,1,.161,/boxscore.aspx?id=21644&path=baseball,21644
3/21/2024,,Mississippi State,W,6-3,29,6,8,6,0,0,2,1,0,0,1,0,0,0,1,7,27,8,1,.276,/boxscore.aspx?id=21646&path=baseball,21646
3/20/2024,,Prairie View A&M,W,11-9,36,11,12,11,3,0,4,11,0,2,0,0,0,0,0,2,27,12,0,.333,/boxscore.aspx?id=21801&path=baseball,21801
3/17/2024,at,Florida,L,2-4,32,2,6,1,0,0,1,7,0,0,2,1,0,0,0,13,24,11,0,.188,/boxscore.aspx?id=21643&path=baseball,21643
3/16/2024,at,Florida,W,10-6,35,10,9,10,1,1,3,9,1,0,0,1,0,0,1,9,27,7,0,.257,/boxscore.aspx?id=21642&path=baseball,21642
3/15/2024,at,Florida,L,6-8,34,6,7,6,1,0,2,1,0,1,0,2,0,0,0,13,24,9,0,.206,/boxscore.aspx?id=21641&path=baseball,21641
3/12/2024,,Sam Houston,W,9-8,38,9,14,8,4,0,3,6,0,0,0,1,0,0,0,9,27,10,0,.368,/boxscore.aspx?id=21800&path=baseball,21800
3/10/2024,,Rhode Island,W,12-11,42,12,15,11,3,0,1,12,0,2,0,4,0,0,0,4,30,6,2,.357,/boxscore.aspx?id=21799&path=baseball,21799
3/9/2024,,Rhode Island,W,6-0,28,6,5,6,3,0,0,9,0,2,0,2,1,0,0,12,27,7,0,.179,/boxscore.aspx?id=21798&path=baseball,21798
3/8/2024,,Rhode Island,W,11-0,37,11,12,11,6,1,2,7,0,3,0,2,0,0,0,7,27,9,1,.324,/boxscore.aspx?id=21797&path=baseball,21797
3/6/2024,,Texas Southern,W,7-4,28,7,5,7,1,0,2,11,0,1,0,3,0,0,0,7,27,7,0,.179,/boxscore.aspx?id=21796&path=baseball,21796
3/5/2024,at,Texas,W,9-2,36,9,10,8,0,0,2,6,0,0,0,2,0,1,1,12,27,8,1,.278,/boxscore.aspx?id=21795&path=baseball,21795
3/3/2024,vs,Arizona State,W,10-5,34,10,8,10,2,0,1,10,0,3,0,0,0,0,1,11,27,8,2,.235,/boxscore.aspx?id=21489&path=baseball,21489
3/2/2024,vs,USC,W,9-3,37,9,12,8,2,1,1,10,1,2,0,1,0,1,0,12,27,6,0,.324,/boxscore.aspx?id=21488&path=baseball,21488
3/1/2024,vs,Arizona State,W,4-0,28,4,4,4,0,0,2,7,0,2,0,2,0,0,0,12,27,8,0,.143,/boxscore.aspx?id=21487&path=baseball,21487
2/27/2024,,Lamar,W,13-2,30,13,14,12,4,0,3,5,0,0,0,0,1,1,0,5,21,7,1,.467,/boxscore.aspx?id=21794&path=baseball,21794
2/25/2024,,Wagner,W,21-2,36,21,15,18,3,1,2,8,0,0,0,2,0,0,0,4,21,2,0,.417,/boxscore.aspx?id=21793&path=baseball,21793
2/24/2024,,Wagner,W,2-0,28,2,8,1,2,0,0,4,1,1,0,2,0,0,2,4,27,8,0,.286,/boxscore.aspx?id=21792&path=baseball,21792
2/23/2024,,Wagner,W,17-2,35,17,13,16,2,1,2,11,0,1,0,0,0,0,1,5,27,11,1,.371,/boxscore.aspx?id=21791&path=baseball,21791
2/20/2024,,Incarnate Word,W,9-3,35,9,13,8,1,0,5,5,0,0,1,1,0,0,1,6,27,7,2,.371,/boxscore.aspx?id=21790&path=baseball,21790
2/18/2024,,McNeese,W,10-0,26,10,9,10,1,0,1,14,1,1,0,0,0,1,1,10,21,6,1,.346,/boxscore.aspx?id=21789&path=baseball,21789
2/17/2024,,McNeese,W,6-1,31,6,8,5,3,1,0,5,0,2,1,1,0,0,0,11,27,10,0,.258,/boxscore.aspx?id=21788&path=baseball,21788
2/16/2024,,McNeese,W,15-0,40,15,17,15,2,1,5,12,0,0,0,0,0,1,0,6,27,4,0,.425,/boxscore.aspx?id=21787&path=baseball,21787
6/5/2023,at,Stanford,L,1-7,33,1,7,1,0,0,1,5,0,1,0,0,0,0,1,10,24,10,0,.212,/boxscore.aspx?id=21340&path=baseball,21340
6/4/2023,at,Stanford,L,5-13,38,5,11,5,2,0,3,5,0,0,0,1,0,0,0,9,27,15,2,.289,/boxscore.aspx?id=21335&path=baseball,21335
6/3/2023,at,Stanford,W,8-5,36,8,10,8,4,0,0,5,0,0,0,2,0,1,0,8,27,6,2,.278,/boxscore.aspx?id=21334&path=baseball,21334
6/2/2023,,Cal State Fullerton,W,12-7,33,12,12,12,2,0,1,12,0,0,1,1,0,1,0,12,27,8,3,.364,/boxscore.aspx?id=19554&path=baseball,19554
5/28/2023,vs,Vanderbilt,L,4-10,35,4,10,3,1,0,0,3,0,0,0,1,0,0,2,7,24,10,0,.286,/boxscore.aspx?id=21333&path=baseball,21333
5/27/2023,vs,Arkansas,W,5-4,33,5,10,5,5,0,0,7,0,0,0,1,0,0,1,6,27,8,1,.303,/boxscore.aspx?id=21332&path=baseball,21332
5/26/2023,vs,LSU,W,5-4,30,5,7,5,3,0,1,4,0,1,0,1,0,1,0,10,27,9,1,.233,/boxscore.aspx?id=21331&path=baseball,21331
5/25/2023,vs,South Carolina,W,5-0,28,5,7,5,1,1,0,4,0,1,2,0,0,2,0,5,27,8,0,.250,/boxscore.aspx?id=21330&path=baseball,21330
5/24/2023,vs,Arkansas,L,5-6,39,5,7,5,1,0,2,4,0,0,1,0,0,0,0,9,30,9,1,.179,/boxscore.aspx?id=21329&path=baseball,21329
5/23/2023,vs,Tennessee,W,3-0,30,3,5,3,1,0,1,5,1,3,1,0,0,0,0,11,27,10,0,.167,/boxscore.aspx?id=19464&path=baseball,19464
5/20/2023,at,Mississippi State,W,15-10,42,15,15,15,1,0,4,3,0,1,0,4,0,1,1,12,27,9,2,.357,/boxscore.aspx?id=19463&path=baseball,19463
5/19/2023,at,Mississippi State,W,6-4,34,6,8,6,1,0,3,8,0,0,1,0,0,0,0,12,27,10,0,.235,/boxscore.aspx?id=19462&path=baseball,19462
5/18/2023,at,Mississippi State,L,8-10,34,8,8,7,2,0,2,15,2,5,0,1,0,1,0,15,26,13,2,.235,/boxscore.aspx?id=19461&path=baseball,19461
